date,Total_Rainfall
2024-01-01,14.26400003
2024-01-02,0.518
2024-01-03,2.258000003
2024-01-04,6.527
2024-01-05,0.195
2024-01-06,122.31300005
2024-01-07,24.770000073
2024-01-08,0.938000001
2024-01-09,1531.876000035
2024-01-10,19.302000041
2024-01-11,162.062000206
2024-01-12,644.105999941
2024-01-13,293.961000059
2024-01-14,8.650000014
2024-01-15,4.687000012
2024-01-16,50.412000052
2024-01-17,5.13700001
2024-01-18,3.184
2024-01-19,5.455
2024-01-20,4.336000026
2024-01-21,4.726000019
2024-01-22,29.543000038
2024-01-23,287.693000257
2024-01-24,452.294000301
2024-01-25,23.691000056
2024-01-26,913.168000281
2024-01-27,8.922000017
2024-01-28,3.1450000080000002
2024-01-29,2.615000003
2024-01-30,0.509
2024-01-31,0.131000001
2024-02-01,0.504000001
2024-02-02,2.514
2024-02-03,5.165000004
2024-02-04,2.60699999
2024-02-05,2.874000001
2024-02-06,5.554000012
2024-02-07,2.0680000020000002
2024-02-08,0.609
2024-02-09,39.980000005
2024-02-10,0.462
2024-02-11,0.08700000000000001
2024-02-12,40.133000012
2024-02-13,11.293000014
2024-02-14,4.659
2024-02-15,303.799000056
2024-02-16,4.548999998
2024-02-17,18.103000004
2024-02-18,12.089999999
2024-02-19,8.828000001
2024-02-20,104.91100001299999
2024-02-21,3.299000005
2024-02-22,6.78300001
2024-02-23,6.529000013
2024-02-24,6.953999991
2024-02-25,0.328
2024-02-26,2.048000006
2024-02-27,930.110000062
2024-02-28,323.394000065
2024-02-29,4.857000001
2024-03-01,3.374000022
2024-03-02,40.060000125
2024-03-03,26.592000075
2024-03-04,0.111
2024-03-05,101.843000052
2024-03-06,4.685000008
2024-03-07,1.695
2024-03-08,8.363000003
2024-03-09,717.722000037
2024-03-10,10.750000007
2024-03-11,0.98
2024-03-12,1.502000003
2024-03-13,0.192
2024-03-14,837.0180000510001
2024-03-15,1.850000001
2024-03-16,82.840000003
2024-03-17,12.85999999
2024-03-18,7.552000002
2024-03-19,72.670000053
2024-03-20,38.634000038
2024-03-21,6.387000001
2024-03-22,413.38600023
2024-03-23,16.718000018
2024-03-24,4.152999991
2024-03-25,1.016000009
2024-03-26,274.669000142
2024-03-27,53.593000082
2024-03-28,1.238000011
2024-03-29,1.733999991
2024-03-30,1.463000011
2024-03-31,0.17699999
2024-04-01,0.166
2024-04-02,124.299999977
2024-04-03,2282.243000181
2024-04-04,194.134000111
2024-04-05,0.177
2024-04-06,0
2024-04-07,0.076
2024-04-08,0
2024-04-09,4.975
2024-04-10,0.199
2024-04-11,1319.506000357
2024-04-12,670.899000191
2024-04-13,88.636000048
